tweet,tag
men can longer look womens boobs tattoos even look them the eyes soon mandatory castration for all males,1
feminists dont even understand what feminism,1
women dont need shave,2
feminist response people wearing meninist clothes mock them call them derogatory names not hate group,1
hey firstworld country white women bitching about gender inequality youre going fine killallmen,1
jest its mans world yknow kaitlyn ill blow the world then,2
why twitter get back the kitchen feminist feminazi powertowomen equality,1
full narcissism and selfloathing lot women out there like that its got sod all with wrightstuff wolfwhistling,1
feminists the gym lose some weight and stop blame society for everything,1
meritocracy only oppressive against the incompetent you believe its sexist you are the sexist one therealkind,1
all need this life sin and girlfriend,0
you want hear something really ugly women will sexually assaulted their time college misogynyisugly,2
not womans place made feel uncomfortable walking down the street poppysmart,2
why paul elam not one the most hated men alive right now feminist,2
feel decides who get support,0
spanish civil war publishing cookbooks author gender points womens lack access education ind wealth osfc,1
feminism does not equal womans rights feminism about vaulting one gender over another not equality,1
all the people who support abortion bad their parents didnt practice that right yesallwomen uniteblue,1
all for feminism but cant stand the female entitlement and sense over worth the popular culture presents meninist,1
masculinity toxic then must nuclear waste facility gamergate dumbfeminist,1
look can discuss sexism survival situations when get back jurassicworld,0
recenter your world the captain your ship the author your life story,0
slut word made degrade women shouldnt degrade anyone its their bodys they can what they like,2
dear feminists why dont you expel the manhaters poisoning your feminism why you admire them gamergate noty,1
tell stop speaking about women such belittling manner you should never lie women equality asshole,2
have stop tweeting now cause wants his tea making,0
upload sexually provocative pics for all see but someone you arent attracted looks its harassment right,1
then theres the added level irony their chosen figureheads not really body positive amirite,1
dear feminist supporters people like you with your endless concessions feminists just prevent their accountability,1
strong feminist twitter measured how much she can type without thinking first then delete gamergate,1
nope more adultery now than years ago years ago sorry facts dont fit your narrative prochoice,0
men that want credit from women for being feminists are not feminists all theyre just men wanting more privileges vaw,2
all men accused rape should immediately castrated questions asked rapeculture heforshe,2
all doing reading tweets and getting angrier fuuuuuuuuuuuck men are privileged time for bed feminismisawfullygreat,2
grr that subject not allowed joked about typical feminist regarding every topic humor spankafeminist,1
why girlswomen spend much time pretty and attractive and then complain theyre reduced sex symbol,1
why not shes clearly part the squad females cant with guys without being looked hoe,2
men are dirty evil yet feminism happy take their money via the state form collective prostitution,1
innocent men should not convicted domestic violence saynotofeminism,1
nah bitch fucking savage obviously you just gon na suck dick and make sandwiches for some man who beats you daily,1
young man stop wearing your sisters clothes and makeup you look ridiculous spankafeminist,1
son you cant slut shame female for having nudes and jerk off the same nudes night you aint right smh,2
get lot shit for saying boobs are sexual sorry you call ignorant all you want but its true freethenippple boobs,1
the meaning peace the absence opposition socialism gamergate,0
hat seriously off all those who made beijing such breakthrough dont say thank you enough womensrights,2
this typical example misandry and scrapa fakecases,0
when for married yearold ceo use his power and influence shag his yearold intern askhillary,2
hate when girls turn into bitches because guy tells them they look good without make thats compliment,1
need feminism because broken idealogies need defending just much functioning ones cryingalready deathnote,2
rules live seek logic things even looks like waste time including feminism gamergate,1
myvagina kicked the shit out hiscock,1
the most upsetting all these however was when was greeted with shock and disgust for the fact have ambition and,2
hooks says that continueeven though its hard and causes pain because those people look whatawoman bellhooks love,2
obsessed with becoming woman comfortable her skin sandra cisneros latinx woc,2
ashamed fellow man making pigs ourselves every given opportunity feminist ashamed,1
women dont make less than men for the same job women average make less then men look feminazis equalpayday,1
feminists like don judge book its cover unless the cover straight white male,1
are you saying all girls are sensitive because gender roles you sexist swine,2
why does someone not create female festival celebrating women surely its brainer art music history,2
the majority antiabortion leaders are men and none them will ever pregnant genderequity,1
women stem imaginary motivation with low conversion numbers waste money natural quitters gamergate,1
fsurhet protip maybe familiarize yourself with recent trending topicsmeninist blacklivesmatter baltimoreriots,0
pussy riot punk prayer highly suggest you watch such amazing documentary,2
got ta love the respect feminists give those that dont wan na feminist note the sarcasm idontneedfeminism,1
your feminism sex worker exclusive trans exclusive want part intersectionality,1
not stopping your foe own tlif noticewas encouraging post topics interested vaw,0
dont ever need man yesallwomen,2
what mans choice whether wants breast feed his children,0
now harry arguing with dead girls father about whose job kill the rapemurdering villain horns,0
wish people would understand that true feminists want equality for everyone even men not just girls,2
hey fellow feminists need fight back against this ridiculous warglorifying that celebrates men triggered transpatriot,1
dont worry about all these feminists any press good press will ordering products soon,1
most feminists dont know what they are fighting for most ego maniacs who want theyre minutes fame cnews,1
stupid feminists the civilization you take for granted was built with the labour blood sweat and tears men,1
hey stop teiggering with man gap the bus will fight the patriarchy until jail equality,2
kwink thewtfmagazine gamers are fatophobes ever notice there are morbidly obese characters video games gamergate not,0
literally you are point about the male gaze and about fake nerd girls,1
not sure schadenfreudes can stand this much tickling,0
meredith giving don crap was greatbut holy crap peggy spoilers but damn was great scene peggy madmen,0
eat pus somethin lozer,0
feminists calling other people bad names wont turn them into feministsyoure shooting yourselves the foot sexism antisjw,1
the moment you know youve won wife you put out and gets make his own sandwich winning yvrmoms funny joke,2
wan na hear the two funniest words the english language right now feminist fellowship geddit fell ship,1
sigh one small step back for women one giant leap forward for lonely perverts chrissyteigen,1
there one more basic cause the abuse women and that that general men dont give damn jimmy carter,1
nimble equality term used feminists poorly hide supremacist agendas,1
shut and back the kitchen bitch,1
wtf literal fuck evan sseing this thing about,0
pope francis christians should support equal pay for equal work popefrancis worldnews society women,2
weneedfeminism because yesallwomen simply not get the same level respect that get man heforshe,2
not wish for women have power over men but over themselves milan knockknock pakarmy ptifamily,2
you support unequal pricing based gender dont you normally call that sexism equalpayday,2
petition for journalists stop using man when they mean demonstrate resilience and mental toughness,2
elizabeth cady stanton did not die you could get upset about fuckbois that dont text back,2
does vegan diet make you immortal either way were all gon na die,0
this maritalrape law misused dont give any scope men prove their innocenceeven honest men can trapped slaughtered,1
the only reason stopped each entrance walkingstreet have lawofattraction viewpoint dailydevotional,0
anita sarkeesian living the damsel distress trope,1
wow threat violence from feminist when ive been nothing but polite might report this,1
signsyoureintheusa you are attacked feminists who labels you the patriarchy for cooking sunny side eggs,1
really proud and want thank for being such powerful feminist heforshe,2
have autocorrect switched off smh dnt need independent,0
have noticed that you never see any really beautiful feminists wonder why,1
teach the young rubbernormative messages about how they should use condoms rawdogging somehow wrong teamnocondom,0
really interesting debate about whether men can also feminists bscconf criminology,1
every time was told was bossy rather than assertive took compliment,2
gamergatenews capthaddock hilarious feminists desending spankafeminist like mad harpies sjws game,1
for all yall who only pay attention mens sports something fairly important happening now with usa womens soccer,1
rethink your beach clothes may oppress some people thisoppresseswomen,1
armchair feminists got their panties wet youre social justice warrior out and something get off tumblr,1
dont buy dress that cant completely zip and fasten own,0
actually the tag was made feminists they can narcissistically post selfies prove theyre not ugly,1
thank you progressiveminded pursuers familial and societal dystopia democrats liberals,0
you know what women should stop wearing after age nothing women can wear whatever they want matter how old,2
thanks the work people like they are not only helping women but helping the whole society,2
sharkrocket real people real results commercial only includes women men dont vacuum notbuyingit,1
what load crap dressing appropriately for the office sexist grow yesallwomen,2
this feminist supports gender equality because some people believe womans value lies her physical beauty,2
coworker called gay because didnt stare these girls who came sorry but respect women and this why need,2
its funny how the government wants fix the gay problems but what about the straight people problems,0
multiple abortions means feminists are not using the contraceptives they themselves demanded gamergate,1
wow why gay marriage legal but lesbian marriage isnt what the fuck fix this now,0
very nice work happy hear your autistic friend able express himself this way,0
singlebecause refuse mans other and bcs want full self bcs want feminist man whos mans man,2
tumblr made slightly transphobic and misogynistic tumblr,0
mind your own business cunt did the batteries your bob die,1
men who make contact with women thinking they are owed response patriarchy,2
have lot healing rosie rochamartinez confuerzacollective chicanaherstory kpfk,1
theres someone once told girls have quiet ive told him really and never been quiet since then,1
stop with the male animators want female animators,2
car women will well,1
selective listening character trait convenience feminists,1
only ever see meritocracy myth being pushed people with skills trying buddybuddy their way the top hmm,0
believe that every women should have their own rights,2
and the sad part they dont they hate people with their own thought experiences and worse all voice,1
likeafeminist think any woman who doesnt identify feminist has internalised misogyny,2
people say bit young into politics but honestly just stand for what believe marriageequaility coexist,0
not free while any woman unfree even when her shackles are very different from own audre lorde feminist,2
think australia had female female majority mps marriageequaility would legal here now auspol,2
quote from mother about being woman really got shit didnt aye bring fourth wave feminism thwavefeminism,1
thought that goes through mind regular basis would you have said that was man,2
dont let anyone elses perception you define you your beliefs and dont feel you have justify your own worth,2
yes girl you can put almost anything that joint islam,0
good thing youre not pretty fuck and not tryna slay,1
congratulations america for overcoming battle for equality now lets have womenall races treated equally alllivesmatter,2
lehi high school favorite school due gleaves hit mondaymotivation whatareyouafraidof,0
well maybe more men learned take answer women wouldnt have say much fnm,2
glad was able raise kids time when educated mothering decisions for family were not vilified nonvaxxerhere,1
for these apps are what happens when girls hackforgirlsrights via girlsintechhtbufflyhhhm,2
not enough help someone group you have the name identitypolitics spankafeminist,1
kristen stewart hollywood disgustingly sexist kristenstewart cloudsofsilsmaria culture women,2
the irony radfem accusing others low selfesteem gamergate,1
paraphrase friedan the more drive deprived data the more its data will expand fill the space,0
storeys song the day love somebody beegees topic the day feminism cultural theory love this class beegees,1
disgusted see you were selling dvds fifty shades grey your chillingham road branch,0
women dont understand mens plight and shouldnt force men into fatherhood consent,1
feminists need growa sense humor okay sips from male tears mug aaigh misandreeeeeeeeeee yesallwomen,1
the mito eve model does not explicit prove ancestor narrows down similarities matter degree,0
guy from beach body ready advert being interviewedconclusionarrogant male chauvinist idiot,2
should considered hate crime someone makes threat against woman,2
umrao jaan ada story not just life prostitute but poise and poesy womanpower,2
its attempt parody proteinworld baltimoreriots socialism,0
pretty sure most are aokay without having her our team and its aaaalll about choice anyway feminists,1
respect your trucksuck why you not respect girls innate chosen dolllove,2
the uks answer and gamergate,1
feminism radical islam painted pink gamergate,1
though not girl maybe not qualified comment womens issues according,1
women didnt have double standards then they would have standards magicmikexxl yesallwomen,1
mojibakemono going take nap ill follow everyone back when wake opskynet gamergate notyourshield,1
your physical appearance doesnt define your worthpeople should heard whether theyre conventionally attractive not,2
think its okay for woman take mans name she wants genderequality,2
misogynist whining that feminists are blocking him lets make his day and all bock him yesallwomen,2
the basic principle the universe information literally everything information one form another antifeminism,1
will say again only low self esteem person will oppressed bikinimodels ads get help,1
they make smile,1
yesallwomen should know how protect herself which why carry gun republicanvalues,2
the considering abolishing prisons for women completely because crime mans fault,1
dont worry honey intelligence roadblock full unquestioning faith feminism bleated,1
history his story need her story too,2
anti feminism because being good person isnt for everybody,1
some feminists would shut down the entire global porn industry put millions benefitswelfare not even care,1
the representation goal feminism has gone from invent more female characters replace all male characters,1
how about maura tucker the morning equality seniority,2
ruthblane anavgjoe ruthblane ruthblane ruthblane ruthblane reversedowry manojmane take this feminazi,1
dear feminists gaming respect earned with hard work not playing the victim gamergate,1
beauty the eye the goat addgoatruinaquote beauty bodyimage,1
listen well ready tell about need that can not deny hsmsong,0
people who call themselves beautiful are really the ugliest deep edgy philosophy baltimoreriots baltimore,0
wives who dislike cooking husbands diet saying theyll stay fit actually they want avoid cooking mcp womensprogress,2
dear god you are fat,0
people think because feminist hate men feminist believe equality for all equalityforall,2
great see singer turned activist the stage interview glastonbury glasto charlottechurch,2
ive removed the term feminist from bio because racist transphobic white feminists have fucked for everyone,1
shouldnt have holding mans hand left alone the street catcalling streetharassment equality,2
women are not going equal outside the home until men are equal gloria steinem women men,2
whether you label yourself feminist not think its important that address equal rightstaylor swift,2
lets pretty and put our tits full display and then get pissed when people look logic wtf,1
last week man made turn and drove the wrong way one way street tell about body catcalling streetharassment,2
cant find friends with people who throw around the word slut judge women for being sexual beings equality,1
what great accomplishment marriageequality too bad still sucks black woman america racism truthbomb,2
shhhh cant you see bragging even feminists have the right bitches gamergate,2
you compared playing with dolls violent disposition two very different things gamergate,0
family court not court inquisition feminazis,1
today watch the united states supreme court,0
mccallum youre yrs outofdate thought you could more interesting but youre just old news bored now bye,0
bad bitch not compliment,2
you should nice anyways nicerinternet,0
one time said girls dont like being called sluts guy and said you cant speak for everyone,2
misogynist patriarchy rapist neckbeard harasser evil mansplain manspread woman hater born rapist etc etc etc,2
nailed another black feminist banged her hard that she shit wife ended cleaning the shit too baltimoreriots,1
but you said sexily yoga sjw vegan,1
watching missrepresentation must change our world womenrule change beauty,2
wonder what would happen riots started breaking out across the globe because how poorly women are treated some men,2
this just pop culture still hates women,2
need feminism because man room full women ecstatic woman room full men terrified,2
its frustrating awful that the only voices getting access wider audience are the voices hate confederateflag race,0
usa only good futbol women are playing,1
after day for equality think the girls who pose with setting female equality back gaymarriage,2
have you ever thought that maybe blue jeans hates you not everyone the world made for each other,0
categorizing homelessness job,0
whoisburningblackchurches the latest racist hate mob tag surprise its all blacklivesmatter people sjwlogic,0
feminists are not ugly the fact that there isnt equal rights for both men and women feministsarebeautiful,2
all the girls who always wear their invisible crown always carry gun lionesses,1
you want empower women you need disempower the warlords zahara langhi from libya wilpf wsw ikff peace war,2
weneedfeminism because twitter has its very own misogynist harassment machine yesallwomen heforshe feminist,1
there nothing more inspiring that the drums the beginning runtheworldgirls feels like the rise,1
pls dont last tweet was obviously joke luv rightsforall,0
time hashtag crazy then folklore uktourism britain storytelling myth legend equality multicultural folk,0
saying alllivesmatter instead blacklivesmatter like saying equal rights for all instead,0
and people wonder why feminists arent taken seriously least give every time hear this rich,1
now lets raise the pay for females and make equal what men get payed eaquality,2
dont you just love how feminists are more focused bondage books being romanticized than they are genital mutilation,1
the trigger levels are over,0
youre feminist and you hate men please kill yourself,1
the best way spot religions see how often they get offended ideas crticism feminism ranks very high,1
feminists were honest dont want learn skills want others work under name gamergate,1
sex male caste general religion hindu none these were hand gurrr feminazis pseudo,1
getting haircut have job interview because being male and having shoulder length hair unprofessional,1
why should woman stick together dont like half you cunts,1
wonder what itd like wear dress and not sexually harassed for yesallwomen,2
feminists are not ugly lol they make laugh though they are the most hypocritical people the planet,1
modern marriage like modern car shinny disposable and not made last gamergate,1
dear feminists the problem with abortion not too many rapes too much fucking without condoms gamergate,1
contrary stereotype see feminists all over social media championing causes that benefit men yesallwomen heforshe,2
maybe just cross because hungry hmmmm,0
all mascots womens world semifinal are girls equalityforall,1
extinction insectsdangerous herbsgigolo servicesreligious fanaticismfake beercansy malaysia radiomedia faildiscuss,0
reading mag that has endless pages about how look holiday but holidays are the time not give fuck thats the point,0
dateoffcampus now part the regular lineup spankafeminist feminazi mra fak,1
dear antiporn feminists youve never eaten popcorn while watching porn you are missing out life gamergate,1
feminists were honest know men dont have the right kind thoughts gamergate,1
downvoting youtube videos hateful and sexist gamergate femfreq radicalbytes videogame gaming,2
this list for real please god better joke man woman should ever pay attention this shit pissed,0
met first radical feminist today holy shit amazing how much can wrong brain wtf,1
what about how the world weed the male plants are mostly deemed useless they only produce seeds dont flower,1
here are fighting for equality when decide only allow ladies heat breaks men not get hot too,1
just stating the facts,0
lot people get indoctrinated movement reading comments and articles for example meinkamp equality,0
said most friends made sex appeal but what must for,0
notafeminist human rights are for all humans not just half them antifeminism antifeminist,1
dear feminists the evidence your closeted hate your refusal address manhate feminism gamergate,1
feministive been female for long time nowitd stupid not own sidemaya angeloufeminist humanist,2
these sjws are homogenous and blur together well its like dealing with one giantrainbowheaded monster gamergate,1
are you using women sex objects sell your sexist hate movement yes you are,1
multiple abortions one the few mistakes life where you are not expected learn welcome feminism,1
patriarchy theory designed project the prejudice and insecurity feminists onto men,1
watching house cards with dad could first lady why not president yeah dad next woman president right here,2
women can not immoral evil right welcome feminism defending pedophilia promoter lenadunham,1
equality for all what shall stop feminist asap,1
you realise that you have just painted all men with the same brush wilfully ignorant could describe you fail,1
what feminists want all humans male and female should have equal political economic and social rights equality,2
hope you get raped apparently how misogynists say how dare you not bend will yesallwomen,2
just watched mad max fury road amazing everything and woman watching this film amazed madmaxfuryroad,0
pushing misinformation about wagegap the new anti vaccination,1
also policy removing feminists their entirety thanks for your help with this voteukip,1
even though all know which gender superior,2
wish laura croft would undress more could bitch about femfreq,1
you claim nor feminist you either dont understand what feminism you are huge societal problem,2
feminists were honest tell the truth but make sure you agree with gamergate,1
its hard being woman constantly annoyed things that dont really matter the grand scheme things wish was man,1
what you say woman with two black eyes nothing shes already been told twice,1
thanks for all the laughs tonight and the social commentary wasnt bad either equalpay girlyoudontneedmakeup,2
dream life fuck canadian slut her eyesocket yesallwomen thisfuckingguy,0
feminists are stupid they think theyre the only ones who can have freedom speech lmaooo,1
feminists are ugly then what are the people calling them ugly must vile,2
courting patriarchal approval condemns your sisters abuse about their physical appearance patriarchyisugly,2
why called history and not herstory,2
you know youre patriarchy when women are the ones who are blamed for prostitution whatisjustice inequality,2
men suck women suck everybody sucks,1
dear feminists start asking for accountability from manhaters instead shielding them for convenient concealment,1
wow you are beautiful even make free girlpower,2
why are all afraid say the fword fword mean feminist its not bad word people,1
can kind see myself doing what shes doing femalepower yolo,2
youre feminist stop whining the internet and step your game guys baltimore riot for their cause get shit done,1
heterosexual males sexual orientation not socialcapitalist construct that can changed with blink eye,1
course ugly feminists hate sexy porn stars rhinos hate the fact they they will never unicorn gamergate,1
all the feminist block because speak true,1
mother and were laughed first graders because mother threw bug and both screamed and ran away strongwomen,0
the friend enemy pizza delivery guy vegans blessed,0
ceos apologizing feminists pressure only awards feminism with its soughtafter intellectual immunity gamergate,1
feminism then fight for womens rights feminism now find the most petty first world problem whine about,1
you buy into this brainwashing hope you never get selected for jury duty involving sex crime,1
you dont have antimen prowomen shequotes quote women men,2
walking through neighborhood saw different fathers taking care the toddler with woman nearby househusband,2
labeling womne omg sexism labeling men well most men are like that,1
because all human beings are created equally nature,2
feminists can now prove wage gap yet lawsuits have come forward women paid less maybe doesnt exist,1
dear lying feminist journalists candy crush saga hard core gaming then masturbation marriage gamergate,1
feminist outrage over american girls being recruited isis zero,1
those fucking feminists sir tim hunt was fired over lies following his joke praised women science,1
howtobeunhappylikeafeminist feminists fill their conversations with gossip hate aka killallmen gamergate,1
going fullmcintosh for only the consecutive time sjwlogic,1
magicmikexxl the most feminist movie have seen since madmax good work,1
dont need white privillaged men coming telling beliefs and fashion are unacceptable furry feminist,2
they opened blenders the vhs girls bathroom today themoreyouknow,0
omfg definition first world problems fuckfeminism,1
nicefeminists are passive onlookers manhate their excuse its not prevent hate movement,1
realize this all actually symbol for,0
now sexist for saying that women cant deal with bad joke shes going suffer when comes adv maths,1
strict gender roles the context true marriage devoted raising children will always the ideal substitutes tcot,1
said women are not going equal outside the home until men are equal you agree antifeminism,1
men want women take their name marriage for male pride because female pride doesnt matter genderequality,2
how can you female and not feminist like you not care about your rights women what,2
goldstein the sanfrancisco city archivist she asks where are the women the history our city alaac archives,2
this always infuriates was male would asked these questions would stereotyped bitch cold hearted,2
please for our gender equality project,2
people actually brag about how dank their shatter wax shit instagram pls kill lol dabs wax,0
wtf what about single fathers,1
hope there womens size for the gameofkings championship belt that just for men,1
tired antiwomanist respectability politics need safe space for women can look like theyre the club interview,2
howtospotafeminist like they block you then stalk you for daysweeks afterwards,1
gender research helps develop nursing research theoretical frameworks concepts and methodology research,0
dont saying these inconvenient truths might hurt the narrative,0
the mentality gamergate hey our feminists are suuuuper stable btw dont agitate them with any criticism,1
reading the beingfemale tweets realized how fortunate able rent and live apartment alone rights fight,1
ignoring peerreviewed research and empirical evidence such feminist thing gamergate notyourshield,1
lol young male children for,0
suns out dresses out streetharassment out this shouldnt daily life yesallwomen,2
refuse accept that there unbreakable glass ceiling after all you hit glass hard enough will shatter glassceiling,2
feminists were honest want worldwide matriarchal dictatorship with all men enslaved women gamergate,1
task present feminist the fact most infanticides are perpetrated the mother she will blame males,1
its cool got the greenlight back side,0
dear percent women you dont think like hence you are scum love gamergate,1
women who falsely accuse men rape not care about exploting the suffering real rape victims gamergate,1
howtospotafeminist feminists compare themselves successful men non feminist women harbor jealousy,1
when feminist irritable and preaching feminism you know shes misplaced her vibrator feminist feminists,1
cant wait see you,0
give follow back feminist,2
love how doesnt distract female teachers,0
with without someone side gon na achieve all the goals have set strongwomen goals,1
sometimes overheat and want take off shirt but cant because social expectations people with breasts,2
amazing show leicester tonight best comedy show ive ever seen incredible upgradeyourself,0
females turn into man hating feminists because man fancys theyre dyke lesbian asss,1
male rape one the most underreported crimes male rape survivors are among the most underserved crime victims,0
also assuming you claim oneyet you just called idiot and you dont even know nice,0
feminists like you are like religious people who can not understand why atheists reject their nonsense,1
you just gained new follower the misogynist maritalrapedebate views has got outraged,2
australia even has fucking minister for women for fucks sakeisawful,1
have reason need feminism the worldu are equal stop trying make case for victimhood,1
some guy just called gentleman for holding the door open for him then corrected himself said sorry gentlewoman,2
wageequality means individuals with equal responsibilities training proficiency deserve equal pay womenrights,1
what wrong with you people women with self respect should coveted have been listening too much rush,2
eating bagel myself rocking out man feel like woman ponytail freedom,2
howtokeepyourgirlhappy treat her like your partner not like your superior,1
rather share the road with man who just pulled all nighter and blew than sober well rested woman equality,1
watch colors code red now shows how newly wedded wife cons the family con bride colors scrapa,0
doesnt take miracle all takes signature and few kind people know not kill innocent women maryjanelives,2
and are why feminists dont live the same planet,1
ill gladly accept face the least used the most used bills neversatisfied,0
spankafeminist sooooo horrible but killallmen perfectly fine see how,1
seriously cant believe there are many hilary supporters right now,1
sexism power plus prejudice anita sexist her own definition because her new title time anitasarkeesian,1
feminism built hatred nothing with equality any other humanitarian grounds dontmancriminate,1
done with crime shows making rape about the father instead the victim,2
lets demand less catcalling and more cats ndsufeminist feminist cats dogscancometoo,2
feminism not just about women its about letting all people lead fuller lives life,2
true but its quotes and had take the opportunity promote,0
the single biggest stimulus the economy can have equal pay gloria steinem alaac,2
women are superior men every aspect feminist,2
proud say dont listen fat crossed eyed,0
advocating men stop loving women just have sex with them everydaysexism,1
howtospotafeminist feminists struggle control their lives and try micromanage other womens lives,1
emilaaslund dear third wave feminists hate you not women get your definitions straight gamergate slipperyslope notyo,1
hey guyz talking about baltimore social issues super smart super current events,0
are the population and only congress the waronwomen absolutely real thing wake america,2
ive been pretty well enjoyed your response,0
job should always best candidate regardless gender gender shouldnt even matter anymore its paulhenry,2
the fact that chris brown somehow still famous why need,0
weneedfeminism because nomeansno doesnt mean yes doesnt mean try harder yesallwomen,2
youre girl and have sex drive you must slut feminist,2
